turn,date,return_rate
1,2016-09,0.038
2,2016-10,-0.046
3,2016-11,0.052
4,2016-12,0.022
5,2017-01,0.086
6,2017-02,0.075
7,2017-03,0.030
8,2017-04,0.046
9,2017-05,0.050
10,2017-06,-0.019
11,2017-07,0.068
12,2017-08,0.025
13,2017-09,0.021
14,2017-10,0.071
15,2017-11,0.043
16,2017-12,0.009
17,2018-01,0.147
18,2018-02,-0.037
19,2018-03,-0.058
20,2018-04,0.001
21,2018-05,0.106
22,2018-06,0.018
23,2018-07,0.043
24,2018-08,0.114
25,2018-09,-0.016
26,2018-10,-0.184
27,2018-11,0.007
28,2018-12,-0.190
29,2019-01,0.195
30,2019-02,0.069
31,2019-03,0.052
32,2019-04,0.095
33,2019-05,-0.159
34,2019-06,0.148
35,2019-07,0.042
36,2019-08,-0.052
37,2019-09,0.009
38,2019-10,0.073
39,2019-11,0.090
40,2019-12,0.071
41,2020-01,0.040
42,2020-02,-0.128
43,2020-03,-0.202
44,2020-04,0.309
45,2020-05,0.135
46,2020-06,0.120
47,2020-07,0.136
48,2020-08,0.192
49,2020-09,-0.103
50,2020-10,-0.046
51,2020-11,0.236
52,2020-12,0.113
53,2021-01,0.028
54,2021-02,0.019
55,2021-03,0.008
56,2021-04,0.108
57,2021-05,-0.031
58,2021-06,0.110
59,2021-07,0.023
60,2021-08,0.080
61,2021-09,-0.106
62,2021-10,0.145
63,2021-11,0.005
64,2021-12,0.014
65,2022-01,-0.180
66,2022-02,-0.069
67,2022-03,0.068
68,2022-04,-0.265
69,2022-05,-0.041
70,2022-06,-0.174
71,2022-07,0.247
72,2022-08,-0.093
73,2022-09,-0.210
74,2022-10,0.078
75,2022-11,0.087
76,2022-12,-0.175
77,2023-01,0.214
78,2023-02,-0.022
79,2023-03,0.134
80,2023-04,0.001
81,2023-05,0.116
82,2023-06,0.132
83,2023-07,0.081
84,2023-08,-0.043
85,2023-09,-0.116
86,2023-10,-0.056
87,2023-11,0.214
88,2023-12,0.110
89,2024-01,0.020
90,2024-02,0.122
91,2024-03,0.036
92,2024-04,-0.088
93,2024-05,0.138
94,2024-06,0.119
95,2024-07,-0.015
96,2024-08,0.013
97,2024-09,0.054
98,2024-10,-0.010
99,2024-11,0.124
100,2024-12,0.010
101,2025-01,0.033
102,2025-02,-0.079
103,2025-03,-0.164
104,2025-04,0.017
105,2025-05,0.191
106,2025-06,0.131
107,2025-07,0.074
108,2025-08,0.032
109,2025-09,0.112
110,2025-10,0.094
111,2025-11,-0.030
112,2025-12,-0.011
113,2026-01,0.019
114,2026-02,-0.068
115,2026-03,-0.095
116,2026-04,0.306
117,2026-05,0.167
118,2026-06,-0.056
119,2026-07,-0.064
120,2026-08,0.079
