turn,date,return_rate
1,2016-09,0.019
2,2016-10,-0.023
3,2016-11,0.026
4,2016-12,0.011
5,2017-01,0.043
6,2017-02,0.038
7,2017-03,0.015
8,2017-04,0.023
9,2017-05,0.025
10,2017-06,-0.009
11,2017-07,0.034
12,2017-08,0.013
13,2017-09,0.010
14,2017-10,0.036
15,2017-11,0.022
16,2017-12,0.004
17,2018-01,0.074
18,2018-02,-0.019
19,2018-03,-0.029
20,2018-04,0.000
21,2018-05,0.053
22,2018-06,0.009
23,2018-07,0.022
24,2018-08,0.057
25,2018-09,-0.008
26,2018-10,-0.092
27,2018-11,0.003
28,2018-12,-0.095
29,2019-01,0.097
30,2019-02,0.034
31,2019-03,0.026
32,2019-04,0.047
33,2019-05,-0.079
34,2019-06,0.074
35,2019-07,0.021
36,2019-08,-0.026
37,2019-09,0.005
38,2019-10,0.037
39,2019-11,0.045
40,2019-12,0.035
41,2020-01,0.020
42,2020-02,-0.064
43,2020-03,-0.101
44,2020-04,0.154
45,2020-05,0.068
46,2020-06,0.060
47,2020-07,0.068
48,2020-08,0.096
49,2020-09,-0.052
50,2020-10,-0.023
51,2020-11,0.118
52,2020-12,0.057
53,2021-01,0.014
54,2021-02,0.009
55,2021-03,0.004
56,2021-04,0.054
57,2021-05,-0.015
58,2021-06,0.055
59,2021-07,0.012
60,2021-08,0.040
61,2021-09,-0.053
62,2021-10,0.073
63,2021-11,0.003
64,2021-12,0.007
65,2022-01,-0.090
66,2022-02,-0.034
67,2022-03,0.034
68,2022-04,-0.133
69,2022-05,-0.021
70,2022-06,-0.087
71,2022-07,0.123
72,2022-08,-0.046
73,2022-09,-0.105
74,2022-10,0.039
75,2022-11,0.044
76,2022-12,-0.087
77,2023-01,0.107
78,2023-02,-0.011
79,2023-03,0.067
80,2023-04,0.000
81,2023-05,0.058
82,2023-06,0.066
83,2023-07,0.040
84,2023-08,-0.022
85,2023-09,-0.058
86,2023-10,-0.028
87,2023-11,0.107
88,2023-12,0.055
89,2024-01,0.010
90,2024-02,0.061
91,2024-03,0.018
92,2024-04,-0.044
93,2024-05,0.069
94,2024-06,0.060
95,2024-07,-0.008
96,2024-08,0.006
97,2024-09,0.027
98,2024-10,-0.005
99,2024-11,0.062
100,2024-12,0.005
101,2025-01,0.016
102,2025-02,-0.040
103,2025-03,-0.082
104,2025-04,0.009
105,2025-05,0.096
106,2025-06,0.066
107,2025-07,0.037
108,2025-08,0.016
109,2025-09,0.056
110,2025-10,0.047
111,2025-11,-0.015
112,2025-12,-0.005
113,2026-01,0.009
114,2026-02,-0.034
115,2026-03,-0.048
116,2026-04,0.153
117,2026-05,0.084
118,2026-06,-0.028
119,2026-07,-0.032
120,2026-08,0.039
